407	457	# Ї => ї
408	458	# Ј => ј
409	459	# Љ => љ
40A	45A	# Њ => њ
40B	45B	# Ћ => ћ
40C	45C	# Ќ => ќ
40D	45D	# Ѝ => ѝ
40E	45E	# Ў => ў
40F	45F	# Џ => џ
410	430	# А => а
411	431	# Б => б
412	432	# В => в
413	433	# Г => г
414	434	# Д => д
415	435	# Е => е
416	436	# Ж => ж
417	437	# З => з
418	438	# И => и
419	439	# Й => й
41A	43A	# К => к
41B	43B	# Л => л
41C	43C	# М => м
41D	43D	# Н => н
41E	43E	# О => о
41F	43F	# П => п
420	440	# Р => р
421	441	# С => с
422	442	# Т => т
423	443	# У => у
424	444	# Ф => ф
425	445	# Х => х
426	446	# Ц => ц
427	447	# Ч => ч
428	448	# Ш => ш
429	449	# Щ => щ
42A	44A	# Ъ => ъ
42B	44B	# Ы => ы
42C	44C	# Ь => ь
42D	44D	# Э => э
42E	44E	# Ю => ю
42F	44F	# Я => я
460	461	# Ѡ => ѡ
462	463	# Ѣ => ѣ
464	465	# Ѥ => ѥ
466	467	# Ѧ => ѧ
468	469	# Ѩ => ѩ
46A	46B	# Ѫ => ѫ
46C	46D	# Ѭ => ѭ
46E	46F	# Ѯ => ѯ
470	471	# Ѱ => ѱ
472	473	# Ѳ => ѳ
474	475	# Ѵ => ѵ
476	477	# Ѷ => ѷ
478	479	# Ѹ => ѹ
47A	47B	# Ѻ => ѻ
47C	47D	# Ѽ => ѽ
47E	47F	# Ѿ => ѿ
480	481	# Ҁ => ҁ
48A	48B	# Ҋ => ҋ
48C	48D	# Ҍ => ҍ
48E	48F	# Ҏ => ҏ
490	491	# Ґ => ґ
492	493	# Ғ => ғ
494	495	# Ҕ => ҕ
496	497	# Җ => җ
498	499	# Ҙ => ҙ
49A	49B	# Қ => қ
49C	49D	# Ҝ => ҝ
49E	49F	# Ҟ => ҟ
4A0	4A1	# Ҡ => ҡ
4A2	4A3	# Ң => ң
4A4	4A5	# Ҥ => ҥ
4A6	4A7	# Ҧ => ҧ
4A8	4A9	# Ҩ => ҩ
4AA	4AB	# Ҫ => ҫ
4AC	4AD	# Ҭ => ҭ
4AE	4AF	# Ү => ү
4B0	4B1	# Ұ => ұ
4B2	4B3	# Ҳ => ҳ
4B4	4B5	# Ҵ => ҵ
4B6	4B7	# Ҷ => ҷ
4B8	4B9	# Ҹ => ҹ
4BA	4BB	# Һ => һ
4BC	4BD	# Ҽ => ҽ
4BE	4BF	# Ҿ => ҿ
4C0	4CF	# Ӏ => ӏ
4C1	4C2	# Ӂ => ӂ
4C3	4C4	# Ӄ => ӄ
4C5	4C6	# Ӆ => ӆ
4C7	4C8	# Ӈ => ӈ
4C9	4CA	# Ӊ => ӊ
4CB	4CC	# Ӌ => ӌ
4CD	4CE	# Ӎ => ӎ
4D0	4D1	# Ӑ => ӑ
4D2	4D3	# Ӓ => ӓ
4D4	4D5	# Ӕ => ӕ
4D6	4D7	# Ӗ => ӗ
4D8	4D9	# Ә => ә
4DA	4DB	# Ӛ => ӛ
4DC	4DD	# Ӝ => ӝ
4DE	4DF	# Ӟ => ӟ
4E0	4E1	# Ӡ => ӡ
4E2	4E3	# Ӣ => ӣ
4E4	4E5	# Ӥ => ӥ
4E6	4E7	# Ӧ => ӧ
4E8	4E9	# Ө => ө
4EA	4EB	# Ӫ => ӫ
4EC	4ED	# Ӭ => ӭ
4EE	4EF	# Ӯ => ӯ
